SO_No,SO_No_TPOS,SO_Date,Customer_No,Customer_Name,SO_Type,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Scp_Disc,Campaign_Code
SO2501039435,TPOS00081915,04/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,72U909G754,1,1986400,0,
SO2501039436,TPOS00081916,20/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,72P103N871,5,1000,0,
SO2501039437,TPOS00081917,26/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,55X526H162,1,48700,3,
SO2501039438,TPOS00081918,22/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,92H891F411,143,44600,0,
SO2501039439,TPOS00081919,05/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,69B485S440,9,23400,0,
SO2501039440,TPOS00081920,23/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,51B408K979,2,652900,0,
SO2501039441,TPOS00081921,06/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,75F880M721,1,592600,1,
SO2501039442,TPOS00081922,21/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,45E231P273,56,72000,4,
SO2501039444,TPOS00081923,07/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,37N358Y580,23,477900,3,
SO2501039445,TPOS00081924,02/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,21S485G404,3,160100,5,
SO2501039446,TPOS00081925,27/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,96Y476L478,1,752200,1,
SO2501039447,TPOS00081926,04/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,88D850P211,1,1000,5,
SO2501039448,TPOS00081927,19/01/2025,C1005,PD SETIA SPAREPART,3,001-S2,Budi Darmawan,96Q332D906,19,99000,5,
SO2501039449,TPOS00081928,01/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,81D707Q543,1,1740200,0,
SO2501039450,TPOS00081929,19/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,56X520T890,5,1000,2,
SO2501039451,TPOS00081930,08/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,43Z966S295,1,18200,0,
SO2501039453,TPOS00081931,09/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,52P247V793,3,200500,5,
SO2501039454,TPOS00081932,11/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,42P103T883,1,675700,3,
SO2501039455,TPOS00081933,09/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,42A118F969,2,1297900,4,
SO2501039456,TPOS00081934,17/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,17Q257A695,2,585400,3,
SO2501039458,TPOS00081935,07/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,44T632M601,30,340800,3,
SO2501039459,TPOS00081936,04/01/2025,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,81D707Q543,1,1049000,5,
SO2501039461,TPOS00081937,02/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,97Y195W199,2,1000,4,
SO2501039462,TPOS00081938,24/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,57M624X879,1,164000,5,
SO2501039463,TPOS00081939,25/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,55X693W912,1,177300,5,
SO2501039464,TPOS00081940,08/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,56A638K280,8,240000,2,
SO2501039465,TPOS00081941,28/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,56B477H382,33,24300,4,
SO2501039466,TPOS00081942,02/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,25V701F998,3,664900,2,
SO2501039467,TPOS00081943,07/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,18N361Y492,1,1663700,1,
SO2501039468,TPOS00081944,05/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,86R389C326,2,929200,4,
SO2501039469,TPOS00081945,08/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,57M624X879,2,121700,0,
SO2501039470,TPOS00081946,18/01/2025,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,56B477H382,17,52900,0,
SO2501039471,TPOS00081947,20/01/2025,C1012,TOKO NUSANTARA PRATAMA,3,001-S1,Yanto Handoko,53Y610F686,3,913400,2,
SO2501039472,TPOS00081948,02/01/2025,C1013,UD CIPTA MOTOR,3,001-S4,Wahyu Fauzi,19J756V360,13,76300,5,
SO2501039473,TPOS00081949,05/01/2025,C1013,UD CIPTA MOTOR,3,001-S4,Wahyu Fauzi,19K823Y952,279,68800,4,
SO2501039474,TPOS00081950,17/01/2025,C1015,TOKO SELATAN JASA,3,001-S2,Budi Darmawan,19J756V360,10,1000,4,
